Uniprot,Cluster Number,Start Pos,End Pos
Q9H171,0,334,429
H3BMH7,0,16,111
P98169,0,0,95
Q7RTU7,0,0,95
Q9BWW7,0,122,218
Q9UKJ3,0,165,261
P28329,0,0,96
Q8IV03,0,0,96
Q86UR1,0,212,309
Q8N2Y8,0,29,126
Q9UKM9,0,209,306
O00178,0,571,669
Q9H307,0,45,143
Q8IXJ9,0,624,722
P49840,0,0,99
O60292,0,235,334
O60245,0,174,273
A6NHQ2,0,0,99
Q66K80,0,0,100
P14866,0,0,100
Q8NDF8,0,0,101
Q06945,0,118,219
I3L1E1,0,84,186
Q9H0E3,0,0,103
Q96PE2,0,482,585
Q9NVW2,0,419,522
Q9UJU2,0,0,104
P10071,0,966,1070
Q5T6F2,0,99,203
Q9HCS4,0,0,104
Q96AE4,0,0,104
Q92934,0,0,105
Q7Z6J9,0,186,293
Q14847,0,100,207
Q15742,0,132,241
Q15672,0,0,109
Q01844,0,545,656
P18825,0,243,354
P78337,0,0,112
P25686,0,210,324
Q8TF72,0,661,775
O00716,0,66,180
Q9ULU8,0,0,114
Q9P0K8,0,124,238
C9JSJ3,0,138,253
Q9H074,0,0,115
P36402,0,0,115
Q00536,0,0,116
Q86UU0,0,630,746
O43541,0,0,116
Q12809,0,868,984
A6NLF2,0,429,546
Q8NG57,0,429,546
Q3SY89,0,429,546
Q9UK61,0,0,117
A6NCS4,0,20,137
O60682,0,0,117
Q9NQS1,0,0,117
Q6UXY1,0,215,333
Q9BRZ2,0,366,486
P78332,0,989,1110
Q5TGY3,0,710,832
Q9P2Q2,0,704,828
Q5VT52,0,1337,1461
Q6ZS46,0,90,218
Q6PJG2,0,86,215
P19622,0,82,212
O60902,0,14,145
O60506,0,491,623
Q9ULD9,0,415,548
Q8NDT2,0,0,134
Q9Y4A8,0,122,257
Q9UPA5,0,3420,3556
Q9Y2T1,0,555,692
O43290,0,0,137
O43390,0,496,633
Q9NY59,0,185,325
Q96EP1,0,125,265
Q5VZ18,0,48,193
Q9P270,0,0,147
Q9BZE9,0,176,325
Q9H0B6,0,473,622
Q6P158,0,0,149
A4D1P6,0,247,397
Q9UHV5,0,0,150
A2RU54,0,0,152
Q9ULI0,0,0,155
O75064,0,989,1148
P51114,0,374,533
Q14774,0,326,488
Q9UBB5,0,0,162
Q9NQV8,0,183,345
P23246,0,545,707
Q15878,0,846,1010
D6RIA3,0,198,364
O94992,0,0,167
O15015,0,1370,1537
A6NC98,0,1309,1476
Q96T37,0,0,171
Q96IF1,0,0,172
Q8N1X5,0,0,172
P35568,0,521,695
Q5JVS0,0,32,211
O95886,0,102,292
Q8TDC3,0,360,554
Q06787,0,438,632
Q8IVF2,0,4989,5188
Q96PV6,0,288,487
Q8TF61,0,344,545
Q69YN4,0,1609,1812
Q96GS4,0,0,209
Q6RI45,0,1517,1727
P55198,0,184,400
Q5JPB2,0,188,405
O60293,0,0,219
Q86Y38,0,40,264
A7E2V4,0,1007,1233
P48382,0,385,616
Q9Y3X0,0,0,231
Q8IWY9,0,60,296
Q86UU0,0,0,237
Q96F45,0,114,352
Q04637,0,992,1240
O14654,0,401,654
Q66PJ3,0,102,361
Q8NC51,0,29,296
Q96L34,0,367,642
P20908,0,241,520
Q10571,0,838,1155
O75061,0,436,803
O95180,0,1979,2353
Q9UPT8,0,0,391
Q5JSZ5,0,1102,1530
A6NNA2,0,98,597
Q96JG9,0,847,1356
O00555,0,1971,2505
O43166,1,1643,1673
P30530,1,268,298
A1A5B4,1,752,782
Q9UBV2,1,764,794
Q9BZC7,1,1585,1615
O95665,1,380,410
Q6SPF0,1,0,30
P30203,1,14,44
Q9BSJ2,1,872,902
Q8WZ42,1,20492,20522
Q9UKV8,1,0,30
Q96QU1,1,1419,1449
Q8TDF6,1,157,187
A6NMD2,1,545,575
Q13905,1,520,550
Q8NGU9,1,181,211
Q03014,1,33,63
P46108,1,59,89
Q6ZVN8,1,117,147
Q5JQC9,1,177,207
Q86VM9,1,275,305
Q9Y5N1,1,232,262
Q13190,1,26,56
Q01518,1,215,245
P11161,1,187,217
Q96HE9,1,171,201
Q8N684,1,239,269
Q86XR5,1,55,85
Q92692,1,86,117
Q9Y5P3,1,187,218
Q08AD1,1,1090,1121
Q9Y2Y4,1,214,245
O94875,1,1001,1032
Q5TBA9,1,26,57
Q9H4W6,1,565,596
Q02246,1,889,920
Q5VZB9,1,0,31
P56470,1,152,183
Q9ULT8,1,1776,1807
Q96HP0,1,1062,1093
Q07960,1,218,249
Q9ULH4,1,574,605
A4UGR9,1,1796,1827
O15550,1,910,941
Q9UPX8,1,1192,1223
Q9Y2H0,1,252,283
Q9UH03,1,0,32
Q9Y6J9,1,399,431
P16278,1,645,677
Q9BQB4,1,40,72
Q15906,1,332,364
Q1L5Z9,1,0,32
Q9H2P0,1,579,611
Q8ND61,1,91,123
P35658,1,1435,1467
O75425,1,141,173
P49406,1,36,68
Q5JNZ5,1,83,115
Q14814,1,236,268
Q9GZM8,1,313,345
O00408,1,14,46
Q7Z5V6,1,263,295
Q96JM2,1,181,213
Q9P244,1,393,426
Q70Z35,1,1573,1606
O75603,1,418,451
Q12849,1,107,140
Q5T089,1,464,497
Q9NWM3,1,141,174
O00459,1,252,285
O75197,1,1473,1506
Q96KR1,1,108,141
O43593,1,296,329
Q9Y6X6,1,1819,1852
Q6ZRS2,1,1134,1167
Q96T25,1,402,435
Q9H0R3,1,0,33
Q9Y661,1,0,33
Q08345,1,379,412
Q96PV0,1,777,810
O75908,1,66,99
Q9UPR5,1,15,48
O00459,1,288,322
Q52WX2,1,379,413
Q13087,1,491,525
Q8N137,1,163,197
Q6PIS1,1,0,34
P32927,1,828,862
P24863,1,249,283
Q9UK33,1,60,94
O15054,1,50,84
Q00613,1,432,466
K7EQS6,1,71,105
P52849,1,47,81
Q16348,1,0,34
Q8TDW0,1,59,93
P10276,1,48,82
Q96QU1,1,1795,1830
Q5U5R9,1,88,123
Q6SJ96,1,0,35
Q9UMZ2,1,257,292
Q5TCQ9,1,839,874
Q9UJT2,1,90,125
P27986,1,77,112
Q13574,1,120,155
Q99715,1,2279,2314
Q9BTX7,1,0,35
Q9BQA5,1,482,517
Q9Y330,1,149,184
Q13563,1,0,35
Q8IZ08,1,0,35
Q8WZ42,1,15909,15944
Q9HCH3,1,557,593
Q5EBL2,1,984,1020
Q8WZ42,1,14888,14924
Q9UJ41,1,383,419
Q8TF50,1,160,196
Q9C0C7,1,249,285
P28698,1,452,488
P59090,1,28,65
Q08345,1,466,503
Q99665,1,721,758
Q9H7N4,1,1275,1312
Q9NNX1,1,348,385
Q96PE2,1,1989,2026
Q9UHC3,1,477,514
Q4G112,1,156,193
O60563,1,689,726
P52951,1,54,91
Q9BXQ6,1,526,563
P35556,1,26,63
Q8TAX7,1,68,106
Q7Z4H4,1,24,62
O95600,1,99,137
Q7L2E3,1,0,38
Q9Y2W2,1,182,220
Q6UWT2,1,38,76
Q99811,1,0,38
Q8NEZ4,1,4021,4059
Q9BYW2,1,2357,2395
O94761,1,856,894
Q86Y01,1,215,253
Q8N2C7,1,364,402
Q9H0C5,1,0,38
Q15678,1,559,597
Q8WZ42,1,21485,21523
P09529,1,24,62
Q01664,1,214,252
P08151,1,1052,1091
Q8WZ75,1,968,1007
P40225,1,314,353
P58107,1,0,39
Q12986,1,1071,1110
Q9UHM6,1,0,39
Q5TCZ1,1,408,447
Q6ZRS2,1,975,1014
Q7Z4S9,1,0,39
Q96JM2,1,1150,1189
P0C7U0,1,253,292
Q96JH7,1,0,39
Q8TC94,1,0,40
Q9Y4D2,1,691,731
P32239,1,407,447
Q7Z5R6,1,119,159
Q15628,1,163,203
Q8N554,1,574,614
Q8N137,1,563,603
P0C7W0,1,149,189
Q9P203,1,755,795
Q15390,1,168,208
Q6P1W5,1,270,311
Q4VCS5,1,836,877
Q8NDX5,1,652,693
Q04724,1,126,167
Q9Y6C5,1,1162,1203
Q16513,1,554,595
P22105,1,24,65
O43426,1,1532,1573
P19544,1,44,85
Q9NYQ7,1,2360,2401
Q5TC82,1,993,1034
Q5VUA4,1,1425,1466
O15353,1,563,605
Q6ZPA2,1,0,42
P23610,1,212,254
P11279,1,180,222
Q9Y5W3,1,53,95
I3L273,1,476,518
Q16655,1,76,118
Q96N19,1,334,376
Q53ET0,1,274,316
Q96JP2,1,736,778
P06401,1,414,456
O95466,1,436,479
O95104,1,622,665
Q8IYU2,1,392,435
P50548,1,182,225
Q8N5H3,1,134,177
Q9NRJ4,1,767,810
Q6UY09,1,522,565
Q9C0F0,1,1674,1717
P12524,1,39,82
Q8WZ42,1,30935,30978
Q14C86,1,834,877
P98082,1,594,637
O15320,1,707,750
Q92952,1,500,543
Q16825,1,546,589
Q9Y467,1,135,178
O75312,1,0,44
Q86UU1,1,144,188
D6RGX4,1,0,44
Q86YV5,1,41,85
Q9BTD3,1,275,319
Q8WZ42,1,16613,16657
Q92945,1,386,430
Q15542,1,146,190
Q8NEZ4,1,2919,2963
Q99742,1,193,237
Q9NYF3,1,76,120
Q13443,1,775,819
Q9P1Z0,1,969,1013
Q5HY92,1,195,239
Q9C0A1,1,2394,2439
O15320,1,759,804
Q9P1D2,1,88,133
P56181,1,29,74
A6NF34,1,378,423
Q9H204,1,0,45
O75116,1,1343,1388
Q8IZ63,1,172,217
P13631,1,41,86
Q6PJG9,1,546,591
Q658T7,1,0,46
Q86YD7,1,0,46
Q9Y2D1,1,108,154
Q96RU3,1,330,376
Q86VE0,1,291,337
P49137,1,0,46
Q3C1V1,1,54,100
Q9BYV9,1,774,820
Q14956,1,316,362
Q92985,1,130,177
Q15459,1,0,47
Q96LX7,1,322,369
Q9NRG9,1,499,546
Q9UQ05,1,970,1017
Q14767,1,501,548
P54829,1,34,81
Q96CT2,1,245,293
Q6ZMY3,1,1168,1216
Q6UXU6,1,111,159
Q6NV74,1,128,176
Q9H875,1,35,83
Q15561,1,169,217
Q9NR83,1,131,179
Q8N3X1,1,155,203
O60741,1,842,890
Q6PJ61,1,394,442
I3L1E1,1,0,48
Q8IX15,1,423,471
O75128,1,1187,1235
Q6NUN9,1,580,629
Q15078,1,91,140
Q6ZMJ4,1,193,242
Q9Y6X2,1,579,628
Q9H093,1,519,568
P47928,1,112,161
Q702N8,1,328,377
Q702N8,1,0,49
Q6PJ61,1,313,362
P51172,1,0,49
Q9NZ52,1,336,385
Q9P1Y5,1,425,474
O60422,1,192,241
Q8NFZ4,1,786,835
Q5T011,1,2396,2446
Q2NL98,1,119,169
A6NMB9,1,83,133
Q96RT7,1,1263,1313
Q8N9I9,1,108,158
Q96J86,1,104,154
Q70CQ4,1,73,123
O75197,1,1565,1615
O95999,1,183,233
P46379,1,644,694
P10826,1,33,83
Q2V2M9,1,810,860
Q9H1Q7,1,293,343
Q14517,1,4433,4483
P40123,1,220,270
Q8N3Y3,1,39,90
O14556,1,17,68
Q14469,1,154,205
Q9BUA3,1,28,79
O60909,1,49,100
Q08345,1,519,570
O75949,1,70,121
P57071,1,58,109
P17535,1,219,270
Q02779,1,902,954
Q9BW19,1,324,376
Q07912,1,655,707
Q8N5C8,1,137,189
Q7Z2K8,1,940,993
Q9HCM7,1,427,480
Q504U0,1,0,53
O14511,1,628,681
O15524,1,0,53
O75970,1,1272,1326
Q9BZ95,1,107,161
Q0VAK6,1,435,489
Q9BUA3,1,270,324
Q8IVF1,1,271,325
Q96K80,1,312,367
O60512,1,338,393
Q9UFB7,1,692,747
P35568,1,1187,1242
Q5VT03,1,198,253
B1AL46,1,270,325
A6NNL0,1,270,325
P11161,1,124,179
Q9HAH7,1,405,460
Q9C0A1,1,1382,1438
P49715,1,0,56
P53539,1,221,277
A1L390,1,754,810
Q12778,1,104,160
Q96PN7,1,526,582
Q9Y6V0,1,1055,1112
Q9NRM7,1,377,434
Q9Y566,1,1806,1863
Q8IY63,1,272,329
Q9UBS5,1,904,961
Q8N196,1,595,652
Q9BTN0,1,378,435
A8MTJ6,1,73,130
Q6ZVL6,1,1630,1687
A0JLT2,1,0,57
Q9UPR6,1,208,266
Q9UPA5,1,1562,1620
O95886,1,530,588
O94993,1,0,58
Q96Q04,1,398,456
Q8N9M1,1,116,175
P55318,1,47,106
Q5T011,1,1354,1413
O00750,1,132,191
Q9UEG4,1,780,839
Q8N6N2,1,0,59
Q9NW64,1,361,420
Q9UK33,1,0,59
O15417,1,300,360
Q9ULJ3,1,957,1017
Q9BYW2,1,157,217
Q9H4Z2,1,957,1017
Q9Y4A5,1,481,541
Q15911,1,2025,2085
Q96HR8,1,434,494
P15291,1,57,118
Q8IUW3,1,202,263
O60232,1,86,147
Q9H9H4,1,224,285
Q5JRA6,1,1846,1907
A6NHT5,1,0,61
Q05209,1,316,378
Q8N568,1,704,766
Q9UQQ2,1,78,140
Q9P267,1,319,381
Q86UU0,1,550,612
P02814,1,17,79
O14669,1,140,202
Q6ZS72,1,34,97
Q96NZ8,1,161,224
Q9NWA0,1,0,63
Q96PR1,1,36,99
Q6NUJ5,1,51,114
Q9UPP2,1,1119,1182
P22681,1,798,862
P52945,1,18,82
H3BSY2,1,546,610
Q5T481,1,0,64
Q6BEB4,1,154,218
Q93015,1,209,273
Q5EBL2,1,219,283
O43281,1,64,129
Q8NFF2,1,350,415
Q96KE9,1,0,65
Q6GQQ9,1,730,795
Q8TDC3,1,713,778
F8WBI6,1,545,610
O15085,1,124,189
Q9NSV4,1,557,622
P0CJ92,1,545,611
Q9P1Z0,1,62,128
H3BV12,1,545,611
I6L899,1,543,609
Q8IV04,1,380,446
Q9H4Z2,1,702,768
P56730,1,25,91
Q969T9,1,195,261
Q8IVB5,1,0,66
P10323,1,319,385
D6RF30,1,518,585
Q9NP31,1,322,389
Q8TF71,1,0,67
Q9Y397,1,297,364
Q6ZV73,1,0,67
Q9BYE9,1,1242,1310
A6NCC3,1,544,612
Q9Y2Y4,1,304,372
P36941,1,367,435
Q92968,1,0,68
Q9H7P9,1,25,94
Q8N163,1,441,512
Q2LD37,1,3885,3956
Q5U623,1,510,581
Q9UKZ4,1,171,242
M0R150,1,1043,1114
P46379,1,380,451
P42694,1,1113,1185
Q6ZVX7,1,0,72
P57055,1,0,72
Q96PV0,1,1271,1343
Q96M27,1,0,72
A8MUI8,1,211,283
O15234,1,631,703
Q8IVF7,1,472,544
A8K0Z3,1,287,359
O95931,1,147,220
P42694,1,1579,1652
Q9UPX8,1,490,563
P17483,1,62,135
Q569H4,1,230,304
Q9C0K0,1,355,430
Q9ULC8,1,285,360
Q96AY4,1,2393,2468
Q9NZ52,1,398,473
Q9NP73,1,899,974
Q96AW1,1,96,172
Q9NZN9,1,308,384
Q9Y6R0,1,533,609
P58012,1,268,344
P42694,1,1865,1942
Q96G27,1,128,206
Q9NTJ3,1,0,78
Q02833,1,294,373
Q6YL49,1,0,79
O14492,1,553,632
Q9Y613,1,542,621
Q6UXX5,1,851,930
P26651,1,167,247
P12980,1,0,80
Q96MX3,1,389,469
P46379,1,551,631
O94910,1,1350,1430
Q14003,1,553,633
Q9C0D6,1,12,92
Q99704,1,400,481
Q9NQX0,1,22,103
O75420,1,585,666
P18206,1,832,914
Q9BYN7,1,144,226
Q9BRK4,1,0,83
Q9C0F0,1,1987,2070
Q86UP3,1,1946,2029
O60393,1,361,445
Q8NEA6,1,253,337
Q86WN1,1,606,690
H3BV60,1,181,265
Q16637,1,144,228
Q6ZW33,1,0,85
P46379,1,452,537
A6NJJ6,1,0,85
O15056,1,1082,1167
Q96PV7,1,576,662
Q07912,1,872,958
O94983,1,242,328
Q16204,1,388,474
Q6P444,1,186,272
Q5VZR2,1,289,377
Q99590,1,1267,1355
P35790,1,0,88
Q9UPP2,1,1001,1090
Q5JTD0,1,242,331
Q6NZY7,1,0,89
O43439,1,18,108
Q9H2Z4,1,243,333
Q13191,1,767,857
Q8N4B1,1,130,221
Q9Y6V0,1,2288,2379
O95271,1,0,92
Q8TF30,1,619,711
P0CJ78,1,52,144
Q6ZSZ5,1,1081,1173
Q96RK0,1,1515,1608
Q9H2W2,1,0,93
Q8WUP2,1,83,176
O14497,1,1852,1945
Q9NQA3,1,248,341
Q96QE4,1,34,128
Q6UXI9,1,295,389
A1X283,1,271,366
Q07666,1,279,375
P49918,1,168,264
Q12857,1,413,509
Q86T65,1,506,602
Q9ULT6,1,603,700
Q09019,1,25,122
Q14687,1,626,723
Q86UY5,1,300,399
Q12929,1,589,689
P78524,1,0,100
Q9NVZ3,1,162,263
Q9P2A4,1,202,303
Q8TEK3,1,1555,1656
Q14653,1,86,188
Q05925,1,0,103
Q6XZF7,1,588,691
P47974,1,391,494
Q53SZ7,1,308,412
Q14004,1,1195,1299
O14686,1,4876,4981
Q7Z5L3,1,36,141
Q569H4,1,57,162
Q6ZU67,1,27,132
Q9BYE0,1,120,225
Q8NC96,1,169,275
A7XYQ1,1,673,779
Q0JRZ9,1,434,540
Q9ULL5,1,0,107
O94868,1,632,740
Q96MA1,1,233,342
P19484,1,324,433
Q9ULD8,1,948,1058
Q7Z6E9,1,324,434
Q96M66,1,83,194
Q9P2N5,1,310,421
Q96PY5,1,498,609
B1AK53,1,411,523
Q8N2Y8,1,403,515
Q13905,1,205,318
P29536,1,464,577
Q5TGY3,1,0,113
